name,category,location,url,creation_date,employee_number,turnover,presentation
Jolimoi,"Cosmétique, E-commerce","Paris, Aix-En-Provence, Bordeaux, Lille, Lyon","
      
        
      
    www.jolimoi.com",2017,10,,"Jolimoi est une toute nouvelle startup en route pour changer la façon dont on achète ses produits de beauté. Adieu boutiques et conseils inappropriés. Jolimoi est une forme alternative de distribution dans la beauté basée sur la personnalisation et le service. Découvrir 
En quelques clics, découvrez sur jolimoi.com les produits de beauté faits pour vous. 
Notre technologie Beauty AffinityTM calcule votre % d'affinité avec notre sélection
	Tester
Testez votre sélection personnalisée avec l'enveloppe beauté ou encore mieux connectez vous à une Styliste Beauté Jolimoi, elle se déplace gratuitement pour un test et des conseils live. 
	Achetez
Achetez sur jolimoi.com au directement auprès de votre Styliste Beauté et bénéficiez du programme de fidélité. Chez Jolimoi, ils recherchent des talents motivés par l'environnement startup, l'innovation et le fait de faire bouger le marché. Ils recherchent des profils forts dans leur domaine aimant travailler en équipe.Chacun apporte son expérience, sa personnalité et ses idées en partageant un objectif commun : la réussite. La flexibilité, l'autonomie, l'envie, l'esprit d'équipe et la bienveillance sont des qualités indispensables. Chez Jolimoi, ils organisent un déjeuner par semaine avec toute l'équipe pour parler de tout et de rien. Chaque nouveau membre est accueilli par son ""Welcome Pack"", une façon pour l'équipe en place de lui souhaiter la bienvenue. Le contenu du Welcome Pack est bien entendu surprise. On célèbre toutes les nouvelles heureuses et on est toujours partant pour une petite soirée improvisée. Amateurs de running ou de yoga, Jolimoi est votre endroit ! "
Artur'In,"AdTech  / MarTech, Marketing / Communication, SaaS / Cloud Services",Paris,"
      
        
      
    www.arturin.com",2016,42,,"Artur'In a pour mission de rendre accessible le marketing digital à toutes les entreprises dépassées par les réseaux sociaux. Et ce, grâce à une technologie de pointe et un savoir-faire marketing éprouvé. Pour cela, via sa plateforme technologique et grâce à l’utilisation du deep learning, Artur'In crée du contenu personnalisé pour ses clients, anime leur communauté sur les réseaux sociaux, permet de suivre l’engagement de leur audience et identifie leurs meilleurs prospects…tout ça pour moins de 200€ par mois !Artur'In est née début 2016 d’une équipe de 6 entrepreneurs du web (fondateurs de Viadeo, Groupon France, Rocket Internet), et l’équipe compte déjà plus de soixante dix personnes 3 ans après son lancement. Désormais solidement financée, Artur'In a un programme de développement très ambitieux devant elle avec de nombreux marchés à ouvrir, en France et à l’étranger. Rejoignez l’aventure !Les valeurs clefs de la maison : transparence, esprit d’équipe et « fun at work ».Artur'In est une startup qui grandit très très vite. Elle a donc besoin de vous pour soutenir cette folle croissance !Ils sont à la recherche de personnalités dont la motivation n’a d’égal que le caractère passionné et l’envie d’entreprendre.Si vous êtes reconnu(e) pour votre autonomie, curiosité, réactivité et votre empathie, que vous aimez le travail d’équipe et avez envie de vous donner à fond dans la construction d’une future pépite française…n’attendez plus rejoignez-les !Un cadre au top boulevard Haussmann dans le 8ème, à deux pas du Parc Monceau dans un superbe immeuble Haussmannien. "
JoliCode,"Formation, IT / Digital","Paris, Lausanne","
      
        
      
    jolicode.com",2012,22,2.4 M€,"JoliCode est une agence experte dans la réalisation de projets Web et mobiles de qualité, qui intervient en conseil, en réalisation, en audit, en expertise ou en formation.La société a été fondée par des développeurs, pour des développeurs, et donne une importance particulière à l’humain : une taille humaine est la garantie de rapports simples et directs, permettant de viser la plus grande efficacité.JoliCode contribue régulièrement à des projets Open Source, et l’ensemble de l’équipe participe chaque année à plusieurs conférences. JoliCode revendique des valeurs fondatrices qui sont : Indépendance, Humanité & Fiabilité, Qualité, Vision & Conviction.En bref, chez JoliCode ils aiment le code bien fait, standard, testé et performant, et la qualité et la fiabilité, que ce soit du point de vue des réalisations techniques ou du rapport avec leurs clients.Chez JoliCode, pas de profil type, que vous soyez diplômé(e) d’un bac -5 ou +12, ils recherchent surtout des personnes passionnées et engagées pour le Web et la qualité.De chouettes locaux dans le 11e arrondissementSkate électrique, kart, parc Arduino et console de jeuxClasse verte : séjour annuel pour coder les pieds dans l’eauJoliPlancha : nos repas en terrasse avec la meilleure plancha du 11e ;-)Cours de yoga tous les moisProtips : ne jamais laisser son ordinateur déverrouillé sinon tu es bon pour apporter le petit-dej."
Ouihelp,"Santé, Services à la personne","Paris, Aix En Provence, Angers, Bordeaux, Grenoble, Lille, Lyon, Marseille, Nantes, Nice, Rennes, Saint Nazaire, Strasbourg, Toulon, Tours, Versailles","
      
        
      
    www.ouihelp.fr",2016,45,29 ans,"La mission de Ouihelp est de permettre aux personnes âgées de continuer à bien vivre chez elles le plus longtemps possible grâce à un service d’aide à domicile sur-mesure, stable et d’une qualité exceptionnelle.Ouihelp bouscule le secteur de l’aide à domicile en intégrant des innovations technologiques tout au long de l’accompagnement des personnes dépendantes (matching clients & intervenants, gestion des plannings, app de communication, etc.) et en travaillant à la revalorisation du métier d’auxiliaire de vie (meilleur salaire, proximité du lieu de travail, etc.).Fondé en 2016 par Pierre-Emmanuel Bercegeay (INSEAD, BCG), Victor Sebag (X-Mines, BCG) et Bastien Gandouet (Centrale Paris), Ouihelp c’est aujourd’hui plus de 35 collaborateurs répartis entre nos bureaux de Paris, Nantes & Lyon. Nous serons bientôt dans les 30 plus grandes villes de France !L’esprit Ouihelp c’est : Faire rimer croissance et impact social ;Allier exigence et bienveillance  ; S’engager personnellement dans une équipe soudée.Si tu partages nos valeurs, que tu es curieux et débrouillard : nous t'accueillerons à bras ouvert !Café en équipe tous les matins, dégustation des meilleures chouquettes du quartier, afterworks et évènement team building réguliers, les Ouihelpers profitent de chaque occasion pour se retrouver et partager des moments ensemble !Et parce que ce n’est jamais assez … footing ou natation chaque mardi et jeux de cartes le midi pour se détendre dans une bonne ambiance !"
Chandago,"Blockchain, IT / Digital",Bordeaux,"
      
        
      
    www.chandago.com",2017,20,,"Chandago est une blockchain company, ayant une vision équitable en matière de données personnelles, qui vise à redonner à l’individu, grâce à son consentement, le contrôle sur la possession, le partage et l’usage de ses données sur Internet. Co-fondée par Emmanuelle et Bruno, sa préoccupation principale est de rétablir une relation de confiance entre le consommateur et les différents acteurs du digital.Chez Chandago, ils recherchent avant tout des personnes ayant une forte appétence au sujet de la protection des données personnelles et ayant envie de travailler sur des technologies et sujets novateurs.Les savoirs être recherchés ? La curiosité, le dynamisme et l'esprit d'équipe !Chez Chandago, il faut aussi :Savoir rattraper les ballesAimer les bonbonsEtre attentif à la boîte à MeuhEt sinon, le mercredi c'est apéro, le vendredi c'est resto, et il y a aussi du foot, de la danse et du cluedo !"
Weglot,"IT / Digital, Logiciels, SaaS / Cloud Services",Paris,"
      
        
      
    weglot.com",2016,12,29 ans,"Weglot est un SaaS permettant de traduire et de diffuser un site web en plusieurs langues.Fondée par Rémy Berda et Augustin Prot en 2016, Weglot simplifie la traduction de sites web en proposant une solution tech clé en main et performante, avec des outils intuitifs de gestion des traductions. Ils s’adressent à tous les propriétaires et développeurs de sites web dans le monde.50 000+ sites web utilisent déjà Weglot pour le multilingue et la traduction.Ils sont fiers du talent de toutes les personnes qui ont rejoint Weglot. La plupart ont des profils très différents, ce qui permet de cultiver la diversité et la bienveillance.Les valeurs clés de l’équipe : ambition, curiosité et pragmatisme.Weglot organise régulièrement des événements d'équipe comme des apéros ou des déjeuners.On fait souvent des paris au babyfoot, livraison du petit déj à la clé."
Gusté,"Luxe, Restauration",Paris,"
      
        
      
    www.guste.fr",2015,29,,"Créé en 2015 par Aurélien Ambert, Gusté est une Marque Food globale.Spécialiste de la Restauration & de l’Évènementiel, Gusté se décline en 4 activités : Maison, Le Lab, Street, Couture.Autant d’entités qui permettent d’accompagner chaque client dans tous les instants de sa vie, tant dans les moments du quotidien que dans les instants exceptionnels.Avec un positionnement de Food Experience Maker, Gusté porte une attention particulière à l’expérience client, aux découvertes, aux sensations et aux valeurs ajoutées qu’il retirera de son expérience.Chez Gusté nous recherchons des profils autonomes et entrepreneurs prêts à s’investir pour participer au développement de l’entreprise. 
Des collaborateurs souhaitant relever des challenges et trouver des solutions.Dynamisme, curiosité et esprit d’équipe sont indispensables pour rejoindre notre team !Aimer manger est un prérequis indispensable avant de nous rejoindre ! 
Être fan de sport est un plus, séance de sport avec notre coach toutes les semaines !"
Sogelink,"Application mobile, Bâtiment / Travaux publics, IT / Digital",Caluire-Et-Cuire,"
      
        
      
    www.sogelink.fr",2000,180,35 ans,"Sogelink accompagne tous les acteurs de l’écosystème des infrastructures, des chantiers et du patrimoine, avec des solutions logicielles, cloud et mobiles, ainsi qu’une plateforme de services d’échanges, traitement, de gestion et de valorisation de la donnée à très grande échelle. Sogelink, c’est l'histoire d’une startup lancée en 2000 par Ignace Vantorre, rapidement devenue la référence pour le traitement et l’échange des documents de chantiers (DT, DICT…) grâce à sa première solution Cloud : DICT.fr.De 4 à 180 collaborateurs en 2018, Sogelink s’est totalement métamorphosée. Avec toujours la même mission : simplifier la vie de ses clients. L’ambition de Sogelink est de déployer une offre unique de solutions numériques, intelligentes et collaboratives de gestion 2D, 3D, 4D des données et des process pour son écosystème. De la conception à la commercialisation en passant par le développement, la formation, le support clients, le tout en s’appuyant sur les fonctions transverses (Finance, Juridique, Marketing, RH), les opportunités sont nombreuses chez Sogelink. Le point commun de tous ses collaborateurs : l’envie de s’engager et de s’impliquer dans l’aventure, de travailler en équipe pour grandir avec l’entreprise !Les 6 commandements (non-exhaustifs) pour bien s’intégrer chez Sogelink :Du sport pendant vos pauses, vous pratiquerez, que ce soit sur table, en salle, sur écrans ou à l’extérieurGrand cœur vous aurez, pour les associations soutenues par notre fondationGastronome, vous serez, pour savourer nos repas d’équipes et petits-déjeunersBon vivant, vous deviendrez en participant à nos séminaires et soiréesEn tant que groupie ou qu’artiste, notre salle de concert, vous investirezJoueur vous serez, et notre tournoi de poker vous remporterez !"
Levanti,"Finance, Transformation",Neuilly-Sur-Seine,"
      
        
      
    www.levanti-consultants.com",2015,15,34 ans,"Levanti, c’est une start-up de conseil en SI Finance, spécialisée dans les métiers de la Finance d’entreprise, de la Finance de marché et de la Lutte anti-blanchiment. Elle propose aux DSI et Directions financières un accompagnement sur mesure dans la mise en place des outils dédiés aux métiers financiers, ainsi que des interventions plus ciblées pour répondre aux besoins métiers.La start-up fondée en 2015 par Vincent et Jérôme a pour objectif de déployer des services personnalisés et de qualité, en intervenant aux côtés de ses clients tout en repensant les relations humaines dans le secteur du conseil.Pour cela elle propose à son équipe de consultants l’expérience d’un cabinet de conseil focalisé sur le développement professionnel ET personnel. « Un bon consultant c’est un consultant épanoui » : c’est le credo chez Levanti !Pour compléter l’équipe, ils recherchent des profils de tout niveau, avec une double compétence Finance et Systèmes d’information, possédant un background dans le conseil.Avant tout, ils s’intéressent aux personnalités proactives et curieuses, qui souhaitent s’investir dans une équipe et créer avec eux le cabinet de leurs rêves.Pour s’épanouir dans l’équipe il faut être ouvert d’esprit et avoir envie d’entreprendre. 
Et puis, il faut aussi et surtout :aimer les afterwork, les séminaires à l’étranger et discussions enflammées avec ses collèguesêtre de bonne humeur avoir un grain (de folie), nécessaire pour changer le mondene pas avoir peur d’affronter les questions tordues de Vincent en entretien"
Studio Caramia,"Digital, Logiciels","Montpellier, Paris","
      
        
      
    caramia.fr",2005,14,35 ans,"Société à taille humaine, Studio Caramia a été fondé à Montpellier en 2005 pour assister ses clients de la conception logicielle à la réalisation d'applicatifs numériques. Depuis sa création, le Studio ne cesse d'accompagner ses clients dans leurs innovations et leurs transformations digitales. Il est le partenaire agile de projets digitaux stratégiques et innovants.Elle compte parmi ses références des grands comptes et des startups (Siemens, Safran, BNP, Auchan, Malongo, les réseaux solidaires France Active et l'Avise, le Groupe DPD, la SNCF, la FNAC, WeChooz...).Studio Caramia c'est aujourd'hui 13 collaborateurs répartis sur 2 agences (Montpellier et Paris). Forte de son expérience reconnue et de son professionnalisme, Studio Caramia a généré en 2018 une croissance à deux chiffres. Son projet pour 2019 est de doubler ses effectifs afin de continuer à fournir des outils digitaux de qualité à ses clients.Notre écosystème se compose essentiellement de PHP/Symfony, Twig, REST, GraphQL, NodeJS, React, Webpack, MongoDB , MySQL, Docker...Le studio recherche des personnes motivées par la découverte de nouvelles technos qui souhaitent sortir de leurs zone de confort dans un climat d'entraide, de solidarité et de recherche d'enrichissement tant personnel que professionnel.Au-delà des compétences techniques, nous accordons une grande importance à l'adhésion avec nos valeurs et notre culture d’entrepriseAmbiance détendue, afterwork fréquent, plancha du vendredi.... mieux vaut apprécier passer du temps ensemble afin d'être performant sur nos objectifs !"
